batch_id,cell_id,seed,freeze_witness_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,t0_window_set,metric,value
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3261162528.0
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3275589024.0
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3287527488.0
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,3,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3502402848.0
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,4,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3229851168.0
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,5,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3421120032.0
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,6,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3362219712.0
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,7,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3278037600.0
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,8,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3320236800.0
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.01
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,2019240.0
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-primary,P-random-na,9,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
