condition_id,task_id,method_id,ap_stability_1_cv,n_seeds
c_base_seed42,T6,M2_hybrid,,1
c_base_seed42,T6,M3_iforest,,1
c_base_seed42,T6,M4_lof,,1
c_base_seed42,T6,M5_ocsvm,,1
c_base_seed42,T6,M6_linearae,,1
c_base_seed42,T6,M7_zscore,,1
c_base_seed42,T6,M8_graphif,,1
c_base_seed42,T7,M1_rule,,1
c_base_seed42,T7,M2_hybrid,,1
c_base_seed42,T7,M3_iforest,,1
c_base_seed42,T7,M4_lof,,1
c_base_seed42,T7,M5_ocsvm,,1
c_base_seed42,T7,M6_linearae,,1
c_base_seed42,T7,M7_zscore,,1
c_base_seed42,T7,M8_graphif,,1
c_fresh_seed137,T1,M1_rule,,1
c_fresh_seed137,T1,M2_hybrid,,1
c_fresh_seed137,T1,M3_iforest,,1
c_fresh_seed137,T1,M4_lof,,1
c_fresh_seed137,T1,M5_ocsvm,,1
c_fresh_seed137,T1,M6_linearae,,1
c_fresh_seed137,T1,M7_zscore,,1
c_fresh_seed137,T1,M8_graphif,,1
c_fresh_seed137,T2,M1_rule,,1
c_fresh_seed137,T2,M2_hybrid,,1
c_fresh_seed137,T2,M3_iforest,,1
c_fresh_seed137,T2,M4_lof,,1
c_fresh_seed137,T2,M5_ocsvm,,1
c_fresh_seed137,T2,M6_linearae,,1
c_fresh_seed137,T2,M7_zscore,,1
c_fresh_seed137,T2,M8_graphif,,1
c_fresh_seed137,T3,M1_rule,,1
c_fresh_seed137,T3,M2_hybrid,,1
c_fresh_seed137,T3,M3_iforest,,1
c_fresh_seed137,T3,M4_lof,,1
c_fresh_seed137,T3,M5_ocsvm,,1
c_fresh_seed137,T3,M6_linearae,,1
c_fresh_seed137,T3,M7_zscore,,1
c_fresh_seed137,T3,M8_graphif,,1
c_fresh_seed137,T4,M1_rule,,1
c_fresh_seed137,T4,M2_hybrid,,1
c_fresh_seed137,T4,M3_iforest,,1
c_fresh_seed137,T4,M4_lof,,1
c_fresh_seed137,T4,M5_ocsvm,,1
c_fresh_seed137,T4,M6_linearae,,1
c_fresh_seed137,T4,M7_zscore,,1
c_fresh_seed137,T5,M1_rule,,1
c_fresh_seed137,T5,M2_hybrid,,1
c_fresh_seed137,T5,M3_iforest,,1
c_fresh_seed137,T5,M4_lof,,1
c_fresh_seed137,T5,M5_ocsvm,,1
c_fresh_seed137,T5,M6_linearae,,1
c_fresh_seed137,T5,M7_zscore,,1
c_fresh_seed137,T6,M1_rule,,1
c_fresh_seed137,T6,M2_hybrid,,1
c_fresh_seed137,T6,M3_iforest,,1
c_fresh_seed137,T6,M4_lof,,1
c_fresh_seed137,T6,M5_ocsvm,,1
c_fresh_seed137,T6,M6_linearae,,1
c_fresh_seed137,T6,M7_zscore,,1
c_fresh_seed137,T6,M8_graphif,,1
c_fresh_seed137,T7,M1_rule,,1
c_fresh_seed137,T7,M2_hybrid,,1
c_fresh_seed137,T7,M3_iforest,,1
c_fresh_seed137,T7,M4_lof,,1
c_fresh_seed137,T7,M5_ocsvm,,1
c_fresh_seed137,T7,M6_linearae,,1
c_fresh_seed137,T7,M7_zscore,,1
c_fresh_seed137,T7,M8_graphif,,1
c_fresh_seed2024,T1,M1_rule,,1
c_fresh_seed2024,T1,M2_hybrid,,1
c_fresh_seed2024,T1,M3_iforest,,1
c_fresh_seed2024,T1,M4_lof,,1
c_fresh_seed2024,T1,M5_ocsvm,,1
c_fresh_seed2024,T1,M6_linearae,,1
c_fresh_seed2024,T1,M7_zscore,,1
c_fresh_seed2024,T1,M8_graphif,,1
c_fresh_seed2024,T2,M1_rule,,1
c_fresh_seed2024,T2,M2_hybrid,,1
c_fresh_seed2024,T2,M3_iforest,,1
c_fresh_seed2024,T2,M4_lof,,1
c_fresh_seed2024,T2,M5_ocsvm,,1
c_fresh_seed2024,T2,M6_linearae,,1
c_fresh_seed2024,T2,M7_zscore,,1
c_fresh_seed2024,T2,M8_graphif,,1
c_fresh_seed2024,T3,M1_rule,,1
c_fresh_seed2024,T3,M2_hybrid,,1
c_fresh_seed2024,T3,M3_iforest,,1
c_fresh_seed2024,T3,M4_lof,,1
c_fresh_seed2024,T3,M5_ocsvm,,1
c_fresh_seed2024,T3,M6_linearae,,1
c_fresh_seed2024,T3,M7_zscore,,1
c_fresh_seed2024,T3,M8_graphif,,1
c_fresh_seed2024,T4,M1_rule,,1
c_fresh_seed2024,T4,M2_hybrid,,1
c_fresh_seed2024,T4,M3_iforest,,1
c_fresh_seed2024,T4,M4_lof,,1
c_fresh_seed2024,T4,M5_ocsvm,,1
c_fresh_seed2024,T4,M6_linearae,,1
c_fresh_seed2024,T4,M7_zscore,,1
c_fresh_seed2024,T5,M1_rule,,1
c_fresh_seed2024,T5,M2_hybrid,,1
c_fresh_seed2024,T5,M3_iforest,,1
c_fresh_seed2024,T5,M4_lof,,1
c_fresh_seed2024,T5,M5_ocsvm,,1
c_fresh_seed2024,T5,M6_linearae,,1
c_fresh_seed2024,T5,M7_zscore,,1
c_fresh_seed2024,T6,M1_rule,,1
c_fresh_seed2024,T6,M2_hybrid,,1
c_fresh_seed2024,T6,M3_iforest,,1
c_fresh_seed2024,T6,M4_lof,,1
c_fresh_seed2024,T6,M5_ocsvm,,1
c_fresh_seed2024,T6,M6_linearae,,1
c_fresh_seed2024,T6,M7_zscore,,1
c_fresh_seed2024,T6,M8_graphif,,1
c_fresh_seed2024,T7,M1_rule,,1
c_fresh_seed2024,T7,M2_hybrid,,1
c_fresh_seed2024,T7,M3_iforest,,1
c_fresh_seed2024,T7,M4_lof,,1
c_fresh_seed2024,T7,M5_ocsvm,,1
c_fresh_seed2024,T7,M6_linearae,,1
c_fresh_seed2024,T7,M7_zscore,,1
c_fresh_seed2024,T7,M8_graphif,,1
c_fresh_seed42,T1,M1_rule,,1
c_fresh_seed42,T1,M2_hybrid,,1
c_fresh_seed42,T1,M3_iforest,,1
c_fresh_seed42,T1,M4_lof,,1
c_fresh_seed42,T1,M5_ocsvm,,1
c_fresh_seed42,T1,M6_linearae,,1
c_fresh_seed42,T1,M7_zscore,,1
c_fresh_seed42,T1,M8_graphif,,1
c_fresh_seed42,T2,M1_rule,,1
c_fresh_seed42,T2,M2_hybrid,,1
c_fresh_seed42,T2,M3_iforest,,1
c_fresh_seed42,T2,M4_lof,,1
c_fresh_seed42,T2,M5_ocsvm,,1
c_fresh_seed42,T2,M6_linearae,,1
c_fresh_seed42,T2,M7_zscore,,1
c_fresh_seed42,T2,M8_graphif,,1
c_fresh_seed42,T3,M1_rule,,1
c_fresh_seed42,T3,M2_hybrid,,1
c_fresh_seed42,T3,M3_iforest,,1
c_fresh_seed42,T3,M4_lof,,1
c_fresh_seed42,T3,M5_ocsvm,,1
c_fresh_seed42,T3,M6_linearae,,1
c_fresh_seed42,T3,M7_zscore,,1
c_fresh_seed42,T3,M8_graphif,,1
c_fresh_seed42,T4,M1_rule,,1
c_fresh_seed42,T4,M2_hybrid,,1
c_fresh_seed42,T4,M3_iforest,,1
c_fresh_seed42,T4,M4_lof,,1
c_fresh_seed42,T4,M5_ocsvm,,1
c_fresh_seed42,T4,M6_linearae,,1
c_fresh_seed42,T4,M7_zscore,,1
c_fresh_seed42,T5,M1_rule,,1
c_fresh_seed42,T5,M2_hybrid,,1
c_fresh_seed42,T5,M3_iforest,,1
c_fresh_seed42,T5,M4_lof,,1
c_fresh_seed42,T5,M5_ocsvm,,1
c_fresh_seed42,T5,M6_linearae,,1
c_fresh_seed42,T5,M7_zscore,,1
c_fresh_seed42,T6,M1_rule,,1
c_fresh_seed42,T6,M2_hybrid,,1
c_fresh_seed42,T6,M3_iforest,,1
c_fresh_seed42,T6,M4_lof,,1
c_fresh_seed42,T6,M5_ocsvm,,1
c_fresh_seed42,T6,M6_linearae,,1
c_fresh_seed42,T6,M7_zscore,,1
c_fresh_seed42,T6,M8_graphif,,1
c_fresh_seed42,T7,M1_rule,,1
c_fresh_seed42,T7,M2_hybrid,,1
c_fresh_seed42,T7,M3_iforest,,1
c_fresh_seed42,T7,M4_lof,,1
c_fresh_seed42,T7,M5_ocsvm,,1
c_fresh_seed42,T7,M6_linearae,,1
c_fresh_seed42,T7,M7_zscore,,1
c_fresh_seed42,T7,M8_graphif,,1
c_miss_seed137,T1,M1_rule,,1
c_miss_seed137,T1,M2_hybrid,,1
c_miss_seed137,T1,M3_iforest,,1
c_miss_seed137,T1,M4_lof,,1
c_miss_seed137,T1,M5_ocsvm,,1
c_miss_seed137,T1,M6_linearae,,1
c_miss_seed137,T1,M7_zscore,,1
c_miss_seed137,T1,M8_graphif,,1
c_miss_seed137,T2,M1_rule,,1
c_miss_seed137,T2,M2_hybrid,,1
c_miss_seed137,T2,M3_iforest,,1
c_miss_seed137,T2,M4_lof,,1
c_miss_seed137,T2,M5_ocsvm,,1
c_miss_seed137,T2,M6_linearae,,1
c_miss_seed137,T2,M7_zscore,,1
c_miss_seed137,T2,M8_graphif,,1
c_miss_seed137,T3,M1_rule,,1
c_miss_seed137,T3,M2_hybrid,,1
c_miss_seed137,T3,M3_iforest,,1
c_miss_seed137,T3,M4_lof,,1
c_miss_seed137,T3,M5_ocsvm,,1
c_miss_seed137,T3,M6_linearae,,1
c_miss_seed137,T3,M7_zscore,,1
c_miss_seed137,T3,M8_graphif,,1
c_miss_seed137,T4,M1_rule,,1
c_miss_seed137,T4,M2_hybrid,,1
c_miss_seed137,T4,M3_iforest,,1
c_miss_seed137,T4,M4_lof,,1
c_miss_seed137,T4,M5_ocsvm,,1
c_miss_seed137,T4,M6_linearae,,1
c_miss_seed137,T4,M7_zscore,,1
c_miss_seed137,T5,M1_rule,,1
c_miss_seed137,T5,M2_hybrid,,1
c_miss_seed137,T5,M3_iforest,,1
c_miss_seed137,T5,M4_lof,,1
c_miss_seed137,T5,M5_ocsvm,,1
c_miss_seed137,T5,M6_linearae,,1
c_miss_seed137,T5,M7_zscore,,1
c_miss_seed137,T6,M1_rule,,1
c_miss_seed137,T6,M2_hybrid,,1
c_miss_seed137,T6,M3_iforest,,1
c_miss_seed137,T6,M4_lof,,1
c_miss_seed137,T6,M5_ocsvm,,1
c_miss_seed137,T6,M6_linearae,,1
c_miss_seed137,T6,M7_zscore,,1
c_miss_seed137,T6,M8_graphif,,1
c_miss_seed137,T7,M1_rule,,1
c_miss_seed137,T7,M2_hybrid,,1
c_miss_seed137,T7,M3_iforest,,1
c_miss_seed137,T7,M4_lof,,1
c_miss_seed137,T7,M5_ocsvm,,1
c_miss_seed137,T7,M6_linearae,,1
c_miss_seed137,T7,M7_zscore,,1
c_miss_seed137,T7,M8_graphif,,1
c_miss_seed2024,T1,M1_rule,,1
c_miss_seed2024,T1,M2_hybrid,,1
c_miss_seed2024,T1,M3_iforest,,1
c_miss_seed2024,T1,M4_lof,,1
c_miss_seed2024,T1,M5_ocsvm,,1
c_miss_seed2024,T1,M6_linearae,,1
c_miss_seed2024,T1,M7_zscore,,1
c_miss_seed2024,T1,M8_graphif,,1
c_miss_seed2024,T2,M1_rule,,1
c_miss_seed2024,T2,M2_hybrid,,1
c_miss_seed2024,T2,M3_iforest,,1
c_miss_seed2024,T2,M4_lof,,1
c_miss_seed2024,T2,M5_ocsvm,,1
c_miss_seed2024,T2,M6_linearae,,1
c_miss_seed2024,T2,M7_zscore,,1
c_miss_seed2024,T2,M8_graphif,,1
c_miss_seed2024,T3,M1_rule,,1
c_miss_seed2024,T3,M2_hybrid,,1
c_miss_seed2024,T3,M3_iforest,,1
c_miss_seed2024,T3,M4_lof,,1
c_miss_seed2024,T3,M5_ocsvm,,1
c_miss_seed2024,T3,M6_linearae,,1
c_miss_seed2024,T3,M7_zscore,,1
c_miss_seed2024,T3,M8_graphif,,1
c_miss_seed2024,T4,M1_rule,,1
c_miss_seed2024,T4,M2_hybrid,,1
c_miss_seed2024,T4,M3_iforest,,1
c_miss_seed2024,T4,M4_lof,,1
c_miss_seed2024,T4,M5_ocsvm,,1
c_miss_seed2024,T4,M6_linearae,,1
c_miss_seed2024,T4,M7_zscore,,1
c_miss_seed2024,T5,M1_rule,,1
c_miss_seed2024,T5,M2_hybrid,,1
c_miss_seed2024,T5,M3_iforest,,1
c_miss_seed2024,T5,M4_lof,,1
c_miss_seed2024,T5,M5_ocsvm,,1
c_miss_seed2024,T5,M6_linearae,,1
c_miss_seed2024,T5,M7_zscore,,1
c_miss_seed2024,T6,M1_rule,,1
c_miss_seed2024,T6,M2_hybrid,,1
c_miss_seed2024,T6,M3_iforest,,1
c_miss_seed2024,T6,M4_lof,,1
c_miss_seed2024,T6,M5_ocsvm,,1
c_miss_seed2024,T6,M6_linearae,,1
c_miss_seed2024,T6,M7_zscore,,1
c_miss_seed2024,T6,M8_graphif,,1
c_miss_seed2024,T7,M1_rule,,1
c_miss_seed2024,T7,M2_hybrid,,1
c_miss_seed2024,T7,M3_iforest,,1
c_miss_seed2024,T7,M4_lof,,1
c_miss_seed2024,T7,M5_ocsvm,,1
c_miss_seed2024,T7,M6_linearae,,1
c_miss_seed2024,T7,M7_zscore,,1
c_miss_seed2024,T7,M8_graphif,,1
c_miss_seed42,T1,M1_rule,,1
c_miss_seed42,T1,M2_hybrid,,1
c_miss_seed42,T1,M3_iforest,,1
c_miss_seed42,T1,M4_lof,,1
c_miss_seed42,T1,M5_ocsvm,,1
c_miss_seed42,T1,M6_linearae,,1
c_miss_seed42,T1,M7_zscore,,1
c_miss_seed42,T1,M8_graphif,,1
c_miss_seed42,T2,M1_rule,,1
c_miss_seed42,T2,M2_hybrid,,1
c_miss_seed42,T2,M3_iforest,,1
c_miss_seed42,T2,M4_lof,,1
c_miss_seed42,T2,M5_ocsvm,,1
c_miss_seed42,T2,M6_linearae,,1
c_miss_seed42,T2,M7_zscore,,1
c_miss_seed42,T2,M8_graphif,,1
c_miss_seed42,T3,M1_rule,,1
c_miss_seed42,T3,M2_hybrid,,1
c_miss_seed42,T3,M3_iforest,,1
c_miss_seed42,T3,M4_lof,,1
c_miss_seed42,T3,M5_ocsvm,,1
c_miss_seed42,T3,M6_linearae,,1
c_miss_seed42,T3,M7_zscore,,1
c_miss_seed42,T3,M8_graphif,,1
c_miss_seed42,T4,M1_rule,,1
c_miss_seed42,T4,M2_hybrid,,1
c_miss_seed42,T4,M3_iforest,,1
c_miss_seed42,T4,M4_lof,,1
c_miss_seed42,T4,M5_ocsvm,,1
c_miss_seed42,T4,M6_linearae,,1
c_miss_seed42,T4,M7_zscore,,1
c_miss_seed42,T5,M1_rule,,1
c_miss_seed42,T5,M2_hybrid,,1
c_miss_seed42,T5,M3_iforest,,1
c_miss_seed42,T5,M4_lof,,1
c_miss_seed42,T5,M5_ocsvm,,1
c_miss_seed42,T5,M6_linearae,,1
c_miss_seed42,T5,M7_zscore,,1
c_miss_seed42,T6,M1_rule,,1
c_miss_seed42,T6,M2_hybrid,,1
c_miss_seed42,T6,M3_iforest,,1
c_miss_seed42,T6,M4_lof,,1
c_miss_seed42,T6,M5_ocsvm,,1
c_miss_seed42,T6,M6_linearae,,1
c_miss_seed42,T6,M7_zscore,,1
c_miss_seed42,T6,M8_graphif,,1
c_miss_seed42,T7,M1_rule,,1
c_miss_seed42,T7,M2_hybrid,,1
c_miss_seed42,T7,M3_iforest,,1
c_miss_seed42,T7,M4_lof,,1
c_miss_seed42,T7,M5_ocsvm,,1
c_miss_seed42,T7,M6_linearae,,1
c_miss_seed42,T7,M7_zscore,,1
c_miss_seed42,T7,M8_graphif,,1
c_stale_seed137,T1,M1_rule,,1
c_stale_seed137,T1,M2_hybrid,,1
c_stale_seed137,T1,M3_iforest,,1
c_stale_seed137,T1,M4_lof,,1
c_stale_seed137,T1,M5_ocsvm,,1
c_stale_seed137,T1,M6_linearae,,1
c_stale_seed137,T1,M7_zscore,,1
c_stale_seed137,T1,M8_graphif,,1
c_stale_seed137,T2,M1_rule,,1
c_stale_seed137,T2,M2_hybrid,,1
c_stale_seed137,T2,M3_iforest,,1
c_stale_seed137,T2,M4_lof,,1
c_stale_seed137,T2,M5_ocsvm,,1
c_stale_seed137,T2,M6_linearae,,1
c_stale_seed137,T2,M7_zscore,,1
c_stale_seed137,T2,M8_graphif,,1
c_stale_seed137,T3,M1_rule,,1
c_stale_seed137,T3,M2_hybrid,,1
c_stale_seed137,T3,M3_iforest,,1
c_stale_seed137,T3,M4_lof,,1
c_stale_seed137,T3,M5_ocsvm,,1
c_stale_seed137,T3,M6_linearae,,1
c_stale_seed137,T3,M7_zscore,,1
c_stale_seed137,T3,M8_graphif,,1
c_stale_seed137,T4,M1_rule,,1
c_stale_seed137,T4,M2_hybrid,,1
c_stale_seed137,T4,M3_iforest,,1
c_stale_seed137,T4,M4_lof,,1
c_stale_seed137,T4,M5_ocsvm,,1
c_stale_seed137,T4,M6_linearae,,1
c_stale_seed137,T4,M7_zscore,,1
c_stale_seed137,T5,M1_rule,,1
c_stale_seed137,T5,M2_hybrid,,1
c_stale_seed137,T5,M3_iforest,,1
c_stale_seed137,T5,M4_lof,,1
c_stale_seed137,T5,M5_ocsvm,,1
c_stale_seed137,T5,M6_linearae,,1
c_stale_seed137,T5,M7_zscore,,1
c_stale_seed137,T6,M1_rule,,1
c_stale_seed137,T6,M2_hybrid,,1
c_stale_seed137,T6,M3_iforest,,1
c_stale_seed137,T6,M4_lof,,1
c_stale_seed137,T6,M5_ocsvm,,1
c_stale_seed137,T6,M6_linearae,,1
c_stale_seed137,T6,M7_zscore,,1
c_stale_seed137,T6,M8_graphif,,1
c_stale_seed137,T7,M1_rule,,1
c_stale_seed137,T7,M2_hybrid,,1
c_stale_seed137,T7,M3_iforest,,1
c_stale_seed137,T7,M4_lof,,1
c_stale_seed137,T7,M5_ocsvm,,1
c_stale_seed137,T7,M6_linearae,,1
c_stale_seed137,T7,M7_zscore,,1
c_stale_seed137,T7,M8_graphif,,1
c_stale_seed2024,T1,M1_rule,,1
c_stale_seed2024,T1,M2_hybrid,,1
c_stale_seed2024,T1,M3_iforest,,1
c_stale_seed2024,T1,M4_lof,,1
c_stale_seed2024,T1,M5_ocsvm,,1
c_stale_seed2024,T1,M6_linearae,,1
c_stale_seed2024,T1,M7_zscore,,1
c_stale_seed2024,T1,M8_graphif,,1
c_stale_seed2024,T2,M1_rule,,1
c_stale_seed2024,T2,M2_hybrid,,1
c_stale_seed2024,T2,M3_iforest,,1
c_stale_seed2024,T2,M4_lof,,1
c_stale_seed2024,T2,M5_ocsvm,,1
c_stale_seed2024,T2,M6_linearae,,1
c_stale_seed2024,T2,M7_zscore,,1
c_stale_seed2024,T2,M8_graphif,,1
c_stale_seed2024,T3,M1_rule,,1
c_stale_seed2024,T3,M2_hybrid,,1
c_stale_seed2024,T3,M3_iforest,,1
c_stale_seed2024,T3,M4_lof,,1
c_stale_seed2024,T3,M5_ocsvm,,1
c_stale_seed2024,T3,M6_linearae,,1
c_stale_seed2024,T3,M7_zscore,,1
c_stale_seed2024,T3,M8_graphif,,1
c_stale_seed2024,T4,M1_rule,,1
c_stale_seed2024,T4,M2_hybrid,,1
c_stale_seed2024,T4,M3_iforest,,1
c_stale_seed2024,T4,M4_lof,,1
c_stale_seed2024,T4,M5_ocsvm,,1
c_stale_seed2024,T4,M6_linearae,,1
c_stale_seed2024,T4,M7_zscore,,1
c_stale_seed2024,T5,M1_rule,,1
c_stale_seed2024,T5,M2_hybrid,,1
c_stale_seed2024,T5,M3_iforest,,1
c_stale_seed2024,T5,M4_lof,,1
c_stale_seed2024,T5,M5_ocsvm,,1
c_stale_seed2024,T5,M6_linearae,,1
c_stale_seed2024,T5,M7_zscore,,1
c_stale_seed2024,T6,M1_rule,,1
c_stale_seed2024,T6,M2_hybrid,,1
c_stale_seed2024,T6,M3_iforest,,1
c_stale_seed2024,T6,M4_lof,,1
c_stale_seed2024,T6,M5_ocsvm,,1
c_stale_seed2024,T6,M6_linearae,,1
c_stale_seed2024,T6,M7_zscore,,1
c_stale_seed2024,T6,M8_graphif,,1
c_stale_seed2024,T7,M1_rule,,1
c_stale_seed2024,T7,M2_hybrid,,1
c_stale_seed2024,T7,M3_iforest,,1
c_stale_seed2024,T7,M4_lof,,1
c_stale_seed2024,T7,M5_ocsvm,,1
c_stale_seed2024,T7,M6_linearae,,1
c_stale_seed2024,T7,M7_zscore,,1
c_stale_seed2024,T7,M8_graphif,,1
c_stale_seed42,T1,M1_rule,,1
c_stale_seed42,T1,M2_hybrid,,1
c_stale_seed42,T1,M3_iforest,,1
c_stale_seed42,T1,M4_lof,,1
c_stale_seed42,T1,M5_ocsvm,,1
c_stale_seed42,T1,M6_linearae,,1
c_stale_seed42,T1,M7_zscore,,1
c_stale_seed42,T1,M8_graphif,,1
c_stale_seed42,T2,M1_rule,,1
c_stale_seed42,T2,M2_hybrid,,1
c_stale_seed42,T2,M3_iforest,,1
c_stale_seed42,T2,M4_lof,,1
c_stale_seed42,T2,M5_ocsvm,,1
c_stale_seed42,T2,M6_linearae,,1
c_stale_seed42,T2,M7_zscore,,1
c_stale_seed42,T2,M8_graphif,,1
c_stale_seed42,T3,M1_rule,,1
c_stale_seed42,T3,M2_hybrid,,1
c_stale_seed42,T3,M3_iforest,,1
c_stale_seed42,T3,M4_lof,,1
c_stale_seed42,T3,M5_ocsvm,,1
c_stale_seed42,T3,M6_linearae,,1
c_stale_seed42,T3,M7_zscore,,1
c_stale_seed42,T3,M8_graphif,,1
c_stale_seed42,T4,M1_rule,,1
c_stale_seed42,T4,M2_hybrid,,1
